"subject_id","trial_type","trial_type_order","trial_index","question_index","response","itemA","itemB","categoryA","categoryB","attention_check","correct_response","original_trial_index","original_question_index","attention_check_id","correct","x","y","item"
"subj_01","causation","first",1,1,100,"choose what to do","kick something","cognitive","physical",FALSE,NA,4,"0",NA,NA,NA,NA,NA
"subj_01","causation","first",1,2,100,"see something","kick something","cognitive","physical",FALSE,NA,4,"1",NA,NA,NA,NA,NA
"subj_01","causation","first",1,3,100,"feel scared","kick something","physiological","physical",FALSE,NA,4,"2",NA,NA,NA,NA,NA
"subj_01","causation","first",1,4,75,"sit down","kick something","physical","physical",FALSE,NA,4,"3",NA,NA,NA,NA,NA
"subj_01","causation","first",1,5,75,"take a walk","kick something","physical","physical",FALSE,NA,4,"4",NA,NA,NA,NA,NA
"subj_01","causation","first",1,6,66,"think about something","kick something","cognitive","physical",FALSE,NA,4,"5",NA,NA,NA,NA,NA
"subj_01","causation","first",1,7,74,"become hungry","kick something","physiological","physical",FALSE,NA,4,"6",NA,NA,NA,NA,NA
"subj_01","causation","first",1,8,24,"jump up and down","kick something","physical","physical",FALSE,NA,4,"7",NA,NA,NA,NA,NA
"subj_01","causation","first",1,9,75,"remember something","kick something","cognitive","physical",FALSE,NA,4,"8",NA,NA,NA,NA,NA
"subj_01","causation","first",1,10,100,"experience pain","kick something","physiological","physical",FALSE,NA,4,"9",NA,NA,NA,NA,NA
"subj_01","causation","first",1,11,100,"kick something","kick something","physical","physical",FALSE,NA,4,"10",NA,NA,NA,NA,NA
"subj_01","causation","first",1,12,35,"get sick","kick something","physiological","physical",FALSE,NA,4,"11",NA,NA,NA,NA,NA
"subj_01","causation","first",1,13,63,"get tired","kick something","physiological","physical",FALSE,NA,4,"12",NA,NA,NA,NA,NA
"subj_01","causation","first",1,14,74,"hear something","kick something","cognitive","physical",FALSE,NA,4,"13",NA,NA,NA,NA,NA
"subj_01","causation","first",1,15,29,"reach for something","kick something","physical","physical",FALSE,NA,4,"14",NA,NA,NA,NA,NA
"subj_01","causation","first",2,16,100,"remember something","experience pain","cognitive","physiological",FALSE,NA,5,"0",NA,NA,NA,NA,NA
"subj_01","causation","first",2,17,70,"get tired","experience pain","physiological","physiological",FALSE,NA,5,"1",NA,NA,NA,NA,NA
"subj_01","causation","first",2,18,100,"think about something","experience pain","cognitive","physiological",FALSE,NA,5,"2",NA,NA,NA,NA,NA
"subj_01","causation","first",2,19,100,"hear something","experience pain","cognitive","physiological",FALSE,NA,5,"3",NA,NA,NA,NA,NA
"subj_01","causation","first",2,20,100,"get sick","experience pain","physiological","physiological",FALSE,NA,5,"4",NA,NA,NA,NA,NA
"subj_01","causation","first",2,21,100,"feel scared","experience pain","physiological","physiological",FALSE,NA,5,"5",NA,NA,NA,NA,NA
"subj_01","causation","first",2,22,100,"take a walk","experience pain","physical","physiological",FALSE,NA,5,"6",NA,NA,NA,NA,NA
"subj_01","causation","first",2,23,100,"experience pain","experience pain","physiological","physiological",FALSE,NA,5,"7",NA,NA,NA,NA,NA
"subj_01","causation","first",2,24,100,"kick something","experience pain","physical","physiological",FALSE,NA,5,"8",NA,NA,NA,NA,NA
