"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","similar_itemA","slider_start","attn_response","attn_correct","causal_itemA"
"true","false","[]","[]","[]","preload","0","2.0.0","4","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","42835","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","consent","42829","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 5 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 5 minutes, your payment will amount to $0.5.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","",""
"","","","","","instructions","2","2.0.0","53749","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","10913","","","[{""page_index"":0,""viewing_time"":10913}]","","","","","","",""
"","","","","","html-slider-response","3","2.0.0","67638","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","13887","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>kicked something</strong> because they <strong>jumped up and down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","0","","similar","kick something","jump up and down","50","","",""
"","","","","","html-slider-response","4","2.0.0","77798","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","10160","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>took a walk</strong> because they <strong>jumped up and down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","0","","similar","take a walk","jump up and down","50","","",""
"","","","","","html-slider-response","5","2.0.0","85697","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","7898","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>became hungry</strong> because they <strong>experienced pain</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","25","","similar","become hungry","experience pain","50","","",""
"","","","","","html-slider-response","6","2.0.0","97123","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","11425","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>experienced pain</strong> because they <strong>felt scared</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","63","","similar","experience pain","feel scared","50","","",""
"","","","","","html-slider-response","7","2.0.0","104978","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","7854","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>sat down</strong> because they <strong>jumped up and down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","38","","similar","sit down","jump up and down","50","","",""
"","","","","","html-slider-response","8","2.0.0","111084","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","6105","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>remembered something</strong> because they <strong>thought about something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","89","","similar","remember something","think about something","50","","",""
"","","","","","html-slider-response","9","2.0.0","117606","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","6521","<p style=""font-size: 25px;"">Consider the following statement: </p>
             <p style=""font-size: 25px;"">Someone <strong>took a walk</strong>. </p>
             <p style=""font-size: 25px;"">For this question, please move the slider to <strong>""definitely yes""</strong></p>","100","","attention_check_1","","","50","100","yes",""
"","","","","","html-slider-response","10","2.0.0","127061","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","9454","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>got sick</strong> because they <strong>saw something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","75","","causal","get sick","","50","","","see something"
"","","","","","html-slider-response","11","2.0.0","131354","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","4292","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>saw something</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","100","","causal","see something","","50","","","take a walk"
"","","","","","html-slider-response","12","2.0.0","136313","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","4957","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>saw something</strong> because they <strong>heard something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","100","","similar","see something","hear something","50","","",""
"","","","","","html-slider-response","13","2.0.0","141447","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","5134","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>sat down</strong> because they <strong>experienced pain</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","75","","causal","sit down","","50","","","experience pain"
"","","","","","html-slider-response","14","2.0.0","147750","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","6302","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>felt scared</strong> because they <strong>became hungry</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","63","","similar","feel scared","become hungry","50","","",""
"","","","","","html-slider-response","15","2.0.0","152944","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","5193","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>got sick</strong> because they <strong>got tired</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","75","","similar","get sick","get tired","50","","",""
"","","","","","html-slider-response","16","2.0.0","159145","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","6200","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>thought about something</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","100","","causal","think about something","","50","","","take a walk"
"","","","","","html-slider-response","17","2.0.0","162416","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","3269","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>became hungry</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","100","","causal","become hungry","","50","","","take a walk"
"","","","","","html-slider-response","18","2.0.0","167447","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","5030","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>reached for something</strong> because they <strong>became hungry</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","75","","causal","reach for something","","50","","","become hungry"
"","","","","","html-slider-response","19","2.0.0","175778","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","8330","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>chose what to do</strong> because they <strong>felt scared</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","100","","causal","choose what to do","","50","","","feel scared"
"","","","","","html-slider-response","20","2.0.0","179860","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","4081","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>chose what to do</strong> because they <strong>remembered something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","100","","similar","choose what to do","remember something","50","","",""
"","","","","","html-slider-response","21","2.0.0","189345","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","9484","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>reached for something</strong> because they <strong>kicked something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","39","","similar","reach for something","kick something","50","","",""
"","","","","","html-slider-response","22","2.0.0","194032","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","4686","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>kicked something</strong> because they <strong>thought about something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","63","","causal","kick something","","50","","","think about something"
