"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","similar_itemA","slider_start","causal_itemA","attn_response","attn_correct"
"true","false","[]","[]","[]","preload","0","2.0.0","26","F195FB9A6E66495FBF1789FA639871B7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","16924","F195FB9A6E66495FBF1789FA639871B7","","5824a839-7f6f-4f19-93f6-b180e10098cf","consent","16894","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 5 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 5 minutes, your payment will amount to $0.5.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","",""
"","","","","","instructions","2","2.0.0","27192","F195FB9A6E66495FBF1789FA639871B7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","10267","","","[{""page_index"":0,""viewing_time"":10267}]","","","","","","",""
"","","","","","html-slider-response","3","2.0.0","45693","F195FB9A6E66495FBF1789FA639871B7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","18480","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>chose what to do</strong> because they <strong>remembered something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","87","","similar","choose what to do","remember something","50","","",""
"","","","","","html-slider-response","4","2.0.0","58750","F195FB9A6E66495FBF1789FA639871B7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","13055","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>felt scared</strong> because they <strong>became hungry</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","24","","similar","feel scared","become hungry","50","","",""
"","","","","","html-slider-response","5","2.0.0","75164","F195FB9A6E66495FBF1789FA639871B7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","16411","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>became hungry</strong> because they <strong>experienced pain</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","58","","similar","become hungry","experience pain","50","","",""
"","","","","","html-slider-response","6","2.0.0","85641","F195FB9A6E66495FBF1789FA639871B7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","10475","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>took a walk</strong> because they <strong>jumped up and down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","24","","similar","take a walk","jump up and down","50","","",""
"","","","","","html-slider-response","7","2.0.0","98306","F195FB9A6E66495FBF1789FA639871B7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","12663","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>heard something</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","87","","causal","hear something","","50","take a walk","",""
"","","","","","html-slider-response","8","2.0.0","107965","F195FB9A6E66495FBF1789FA639871B7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","9656","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>saw something</strong> because they <strong>heard something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","66","","similar","see something","hear something","50","","",""
"","","","","","html-slider-response","9","2.0.0","112884","F195FB9A6E66495FBF1789FA639871B7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","4915","<p style=""font-size: 25px;"">Consider the following statement: </p>
             <p style=""font-size: 25px;"">Someone <strong>took a walk</strong>. </p>
             <p style=""font-size: 25px;"">For this question, please move the slider to <strong>""definitely yes""</strong></p>","100","","attention_check_1","","","50","","100","yes"
"","","","","","html-slider-response","10","2.0.0","118519","F195FB9A6E66495FBF1789FA639871B7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","5633","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>thought about something</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","85","","causal","think about something","","50","take a walk","",""
"","","","","","html-slider-response","11","2.0.0","134727","F195FB9A6E66495FBF1789FA639871B7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","16206","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>heard something</strong> because they <strong>saw something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","64","","similar","hear something","see something","50","","",""
"","","","","","html-slider-response","12","2.0.0","140820","F195FB9A6E66495FBF1789FA639871B7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","6091","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>remembered something</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","84","","causal","remember something","","50","take a walk","",""
"","","","","","html-slider-response","13","2.0.0","156880","F195FB9A6E66495FBF1789FA639871B7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","16058","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>got sick</strong> because they <strong>got tired</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","40","","similar","get sick","get tired","50","","",""
"","","","","","html-slider-response","14","2.0.0","163084","F195FB9A6E66495FBF1789FA639871B7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","6201","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>sat down</strong> because they <strong>experienced pain</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","97","","causal","sit down","","50","experience pain","",""
"","","","","","html-slider-response","15","2.0.0","168398","F195FB9A6E66495FBF1789FA639871B7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","5312","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>kicked something</strong> because they <strong>thought about something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","75","","causal","kick something","","50","think about something","",""
"","","","","","html-slider-response","16","2.0.0","171865","F195FB9A6E66495FBF1789FA639871B7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","3465","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>saw something</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","98","","causal","see something","","50","take a walk","",""
"","","","","","html-slider-response","17","2.0.0","178459","F195FB9A6E66495FBF1789FA639871B7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","6591","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>jumped up and down</strong> because they <strong>sat down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","16","","similar","jump up and down","sit down","50","","",""
"","","","","","html-slider-response","18","2.0.0","186353","F195FB9A6E66495FBF1789FA639871B7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","7892","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>got tired</strong> because they <strong>felt scared</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","5","","similar","get tired","feel scared","50","","",""
"","","","","","html-slider-response","19","2.0.0","197042","F195FB9A6E66495FBF1789FA639871B7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","10687","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>reached for something</strong> because they <strong>became hungry</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","80","","causal","reach for something","","50","become hungry","",""
"","","","","","html-slider-response","20","2.0.0","205438","F195FB9A6E66495FBF1789FA639871B7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","8394","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>experienced pain</strong> because they <strong>kicked something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","100","","causal","experience pain","","50","kick something","",""
"","","","","","html-slider-response","21","2.0.0","213607","F195FB9A6E66495FBF1789FA639871B7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","8167","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>felt scared</strong> because they <strong>saw something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","94","","causal","feel scared","","50","see something","",""
