subject_id,itemB,causal_itemA,similar_itemA,explanation_type,satisfactory,causal_itemA_causal_distance,causal_itemA_freesort_distance,causal_itemA_freesort_minus_causal,similar_itemA_causal_distance,similar_itemA_freesort_distance,similar_itemA_freesort_minus_causal
subj_01,think about something,take a walk,remember something,Direct,11,0.15,0.86,0.72,0.01,0,-0.01
subj_01,think about something,take a walk,remember something,Intrinsic,100,0.15,0.86,0.72,0.01,0,-0.01
subj_01,kick something,think about something,jump up and down,Direct,25,0.4,0.9,0.5,0.61,0.26,-0.35
subj_01,kick something,think about something,jump up and down,Intrinsic,51,0.4,0.9,0.5,0.61,0.26,-0.35
subj_01,jump up and down,think about something,sit down,Direct,56,0.39,0.99,0.6,1,0.3,-0.7
subj_01,jump up and down,think about something,sit down,Intrinsic,7,0.39,0.99,0.6,1,0.3,-0.7
subj_01,become hungry,take a walk,experience pain,Direct,100,0.14,0.79,0.65,0.72,0.49,-0.22
subj_01,become hungry,take a walk,experience pain,Intrinsic,31,0.14,0.79,0.65,0.72,0.49,-0.22
subj_01,get tired,jump up and down,feel scared,Direct,100,0.04,0.78,0.73,0.47,0.5,0.03
subj_01,get tired,jump up and down,feel scared,Intrinsic,62,0.04,0.78,0.73,0.47,0.5,0.03
subj_01,choose what to do,feel scared,remember something,Direct,87,0.16,0.78,0.62,0.1,0.42,0.32
subj_01,choose what to do,feel scared,remember something,Intrinsic,100,0.16,0.78,0.62,0.1,0.42,0.32
subj_01,reach for something,become hungry,kick something,Direct,0,0.18,0.83,0.65,0.62,0.49,-0.14
subj_01,reach for something,become hungry,kick something,Intrinsic,69,0.18,0.83,0.65,0.62,0.49,-0.14
subj_01,get sick,see something,get tired,Direct,100,0.4,0.95,0.55,0.42,0.37,-0.06
subj_01,get sick,see something,get tired,Intrinsic,74,0.4,0.95,0.55,0.42,0.37,-0.06
subj_01,remember something,take a walk,think about something,Direct,69,0.22,0.91,0.69,0,0,0
subj_01,remember something,take a walk,think about something,Intrinsic,60,0.22,0.91,0.69,0,0,0
subj_01,hear something,take a walk,see something,Direct,67,0.23,0.86,0.62,0.49,0.05,-0.44
subj_01,hear something,take a walk,see something,Intrinsic,49,0.23,0.86,0.62,0.49,0.05,-0.44
subj_01,take a walk,think about something,jump up and down,Direct,76,0.25,0.86,0.61,0.76,0.17,-0.59
subj_01,take a walk,think about something,jump up and down,Intrinsic,9,0.25,0.86,0.61,0.76,0.17,-0.59
subj_01,sit down,experience pain,jump up and down,Direct,100,0.08,0.87,0.79,0.61,0.3,-0.31
subj_01,sit down,experience pain,jump up and down,Intrinsic,70,0.08,0.87,0.79,0.61,0.3,-0.31
subj_01,see something,take a walk,hear something,Direct,88,0.17,0.86,0.69,0.46,0.05,-0.41
subj_01,see something,take a walk,hear something,Intrinsic,50,0.17,0.86,0.69,0.46,0.05,-0.41
subj_01,experience pain,kick something,feel scared,Direct,100,0.07,0.72,0.65,0.34,0.32,-0.02
subj_01,experience pain,kick something,feel scared,Intrinsic,84,0.07,0.72,0.65,0.34,0.32,-0.02
subj_01,feel scared,see something,become hungry,Direct,100,0.06,0.78,0.71,0.63,0.58,-0.05
subj_01,feel scared,see something,become hungry,Intrinsic,24,0.06,0.78,0.71,0.63,0.58,-0.05
subj_02,see something,take a walk,hear something,Direct,80,0.17,0.86,0.69,0.46,0.05,-0.41
subj_02,see something,take a walk,hear something,Intrinsic,80,0.17,0.86,0.69,0.46,0.05,-0.41
subj_02,kick something,think about something,jump up and down,Direct,42,0.4,0.9,0.5,0.61,0.26,-0.35
subj_02,kick something,think about something,jump up and down,Intrinsic,43,0.4,0.9,0.5,0.61,0.26,-0.35
subj_02,jump up and down,think about something,sit down,Direct,87,0.39,0.99,0.6,1,0.3,-0.7
subj_02,jump up and down,think about something,sit down,Intrinsic,57,0.39,0.99,0.6,1,0.3,-0.7
subj_02,get tired,jump up and down,feel scared,Direct,54,0.04,0.78,0.73,0.47,0.5,0.03
subj_02,get tired,jump up and down,feel scared,Intrinsic,56,0.04,0.78,0.73,0.47,0.5,0.03
subj_02,take a walk,think about something,jump up and down,Direct,71,0.25,0.86,0.61,0.76,0.17,-0.59
subj_02,take a walk,think about something,jump up and down,Intrinsic,50,0.25,0.86,0.61,0.76,0.17,-0.59
subj_02,become hungry,take a walk,experience pain,Direct,80,0.14,0.79,0.65,0.72,0.49,-0.22
subj_02,become hungry,take a walk,experience pain,Intrinsic,0,0.14,0.79,0.65,0.72,0.49,-0.22
subj_02,think about something,take a walk,remember something,Direct,74,0.15,0.86,0.72,0.01,0,-0.01
subj_02,think about something,take a walk,remember something,Intrinsic,71,0.15,0.86,0.72,0.01,0,-0.01
subj_02,remember something,take a walk,think about something,Direct,76,0.22,0.91,0.69,0,0,0
subj_02,remember something,take a walk,think about something,Intrinsic,71,0.22,0.91,0.69,0,0,0
subj_02,feel scared,see something,become hungry,Direct,72,0.06,0.78,0.71,0.63,0.58,-0.05
subj_02,feel scared,see something,become hungry,Intrinsic,0,0.06,0.78,0.71,0.63,0.58,-0.05
