"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","slider_start","attn_response","attn_correct","itemB","causal_itemA","response_value","similar_itemA","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","20","0D75B21EA67942B988D80423F896CC2A","0198e2e6-4f49-79fd-9b07-64f354359bb4","0198e2d6-5c2e-73f5-8451-25a6796d814f","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","36703","0D75B21EA67942B988D80423F896CC2A","0198e2e6-4f49-79fd-9b07-64f354359bb4","0198e2d6-5c2e-73f5-8451-25a6796d814f","consent","36678","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 8 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 8 minutes, your payment will amount to $2.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","44144","0D75B21EA67942B988D80423F896CC2A","0198e2e6-4f49-79fd-9b07-64f354359bb4","0198e2d6-5c2e-73f5-8451-25a6796d814f","","7438","","","[{""page_index"":0,""viewing_time"":7438}]","","","","","","","","","","","","",""
"","","","","","html-slider-response","3","2.1.0","50088","0D75B21EA67942B988D80423F896CC2A","0198e2e6-4f49-79fd-9b07-64f354359bb4","0198e2d6-5c2e-73f5-8451-25a6796d814f","","5940","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>felt hungry</strong>.</p>
             <p style=""font-size: 25px;"">For this question, please select <strong>""definitely yes""</strong></p>","100","","attention_check_similarity","50","100","yes","","","","","","","","",""
"","","","","","html-slider-response","4","2.1.0","64689","0D75B21EA67942B988D80423F896CC2A","0198e2e6-4f49-79fd-9b07-64f354359bb4","0198e2d6-5c2e-73f5-8451-25a6796d814f","","14599","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>got sick</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>gotten sick in the same way</strong>?</p>","78","","counterfactual","50","","","sit down","experience pain","78","","","","","",""
"","","","","","html-slider-response","5","2.1.0","88651","0D75B21EA67942B988D80423F896CC2A","0198e2e6-4f49-79fd-9b07-64f354359bb4","0198e2d6-5c2e-73f5-8451-25a6796d814f","","23959","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>remembered something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>remembered the same thing</strong>?</p>","61","","counterfactual","50","","","get tired","jump up and down","61","","","","","",""
"","","","","","html-slider-response","6","2.1.0","113386","0D75B21EA67942B988D80423F896CC2A","0198e2e6-4f49-79fd-9b07-64f354359bb4","0198e2d6-5c2e-73f5-8451-25a6796d814f","","24733","<p style=""font-size: 25px;"">A person <strong>experienced pain</strong>, then they <strong>chose what to do</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>experience pain</strong>. <br>Would they still have <strong>chosen to do the same thing</strong>?</p>","14","","counterfactual","50","","","get sick","see something","14","","","","","",""
"","","","","","html-slider-response","7","2.1.0","122510","0D75B21EA67942B988D80423F896CC2A","0198e2e6-4f49-79fd-9b07-64f354359bb4","0198e2d6-5c2e-73f5-8451-25a6796d814f","","9121","<p style=""font-size: 25px;"">A person <strong>remembered something</strong>, then they <strong>thought about something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>remember something</strong>. <br>Would they still have <strong>thought the same thing</strong>?</p>","13","","similarity","50","","","think about something","","13","remember something","","","","",""
"","","","","","html-slider-response","8","2.1.0","128243","0D75B21EA67942B988D80423F896CC2A","0198e2e6-4f49-79fd-9b07-64f354359bb4","0198e2d6-5c2e-73f5-8451-25a6796d814f","","5730","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>heard something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>heard the same thing</strong>?</p>","34","","similarity","50","","","hear something","","34","see something","","","","",""
"","","","","","html-slider-response","9","2.1.0","133392","0D75B21EA67942B988D80423F896CC2A","0198e2e6-4f49-79fd-9b07-64f354359bb4","0198e2d6-5c2e-73f5-8451-25a6796d814f","","5147","<p style=""font-size: 25px;"">A person <strong>thought about something</strong>, then they <strong>kicked something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>think about something</strong>. <br>Would they still have <strong>kicked the same thing</strong>?</p>","89","","counterfactual","50","","","feel scared","see something","89","","","","","",""
"","","","","","html-slider-response","10","2.1.0","140440","0D75B21EA67942B988D80423F896CC2A","0198e2e6-4f49-79fd-9b07-64f354359bb4","0198e2d6-5c2e-73f5-8451-25a6796d814f","","7046","<p style=""font-size: 25px;"">A person <strong>became hungry</strong>, then they <strong>reached for something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>become hungry</strong>. <br>Would they still have <strong>reached for the same thing</strong>?</p>","11","","counterfactual","50","","","experience pain","kick something","11","","","","","",""
"","","","","","html-slider-response","11","2.1.0","143723","0D75B21EA67942B988D80423F896CC2A","0198e2e6-4f49-79fd-9b07-64f354359bb4","0198e2d6-5c2e-73f5-8451-25a6796d814f","","3281","<p style=""font-size: 25px;"">A person <strong>kicked something</strong>, then they <strong>reached for something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>kick something</strong>. <br>Would they still have <strong>reached for the same thing</strong>?</p>","44","","similarity","50","","","reach for something","","44","kick something","","","","",""
