"subject_id","itemA","itemB","domain_itemA","domain_itemB","trial_type_order","freesort_distance","causal_distance"
"subj_01","get sick","see something","bio","mind","causation_first",0.28,0.85
"subj_01","hear something","see something","mind","mind","causation_first",0.35,0.63
"subj_01","reach for something","see something","action","mind","causation_first",0.91,0.23
"subj_01","remember something","see something","mind","mind","causation_first",0,0.22
"subj_01","experience pain","see something","bio","mind","causation_first",0.3,0.76
"subj_01","take a walk","see something","action","mind","causation_first",0.74,0
"subj_01","become hungry","see something","bio","mind","causation_first",0.71,0.7
"subj_01","choose what to do","see something","mind","mind","causation_first",0.84,0.53
"subj_01","jump up and down","see something","action","mind","causation_first",0.58,0.25
"subj_01","sit down","see something","action","mind","causation_first",0.57,0.27
"subj_01","think about something","see something","mind","mind","causation_first",0.63,0.24
"subj_01","get tired","see something","bio","mind","causation_first",0.71,0.24
"subj_01","kick something","see something","action","mind","causation_first",0.31,0.24
"subj_01","feel scared","see something","bio","mind","causation_first",0.53,0.1
"subj_01","see something","get sick","mind","bio","causation_first",0.28,0.05
"subj_01","hear something","get sick","mind","bio","causation_first",0.18,0.12
"subj_01","reach for something","get sick","action","bio","causation_first",1,0.73
"subj_01","remember something","get sick","mind","bio","causation_first",0.19,0.34
"subj_01","experience pain","get sick","bio","bio","causation_first",0.59,0.08
"subj_01","take a walk","get sick","action","bio","causation_first",0.76,0.27
"subj_01","become hungry","get sick","bio","bio","causation_first",0.94,0.74
"subj_01","choose what to do","get sick","mind","bio","causation_first",0.98,0.22
"subj_01","jump up and down","get sick","action","bio","causation_first",0.58,0.17
"subj_01","sit down","get sick","action","bio","causation_first",0.48,0.25
"subj_01","think about something","get sick","mind","bio","causation_first",0.92,0.24
"subj_01","get tired","get sick","bio","bio","causation_first",0.66,0.19
"subj_01","kick something","get sick","action","bio","causation_first",0.66,0.2
"subj_01","feel scared","get sick","bio","bio","causation_first",0.28,0.23
"subj_01","see something","hear something","mind","mind","causation_first",0.35,0.15
"subj_01","get sick","hear something","bio","mind","causation_first",0.18,0.69
"subj_01","reach for something","hear something","action","mind","causation_first",0.71,0.26
"subj_01","remember something","hear something","mind","mind","causation_first",0.23,0.33
"subj_01","experience pain","hear something","bio","mind","causation_first",0.44,0.75
"subj_01","take a walk","hear something","action","mind","causation_first",0.46,0
