"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","view_history","rt","condition","itemB","causal_itemA","stimulus","slider_start","response","response_value","similar_itemA","attn_response","attn_correct","trial_id","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.0.0","3","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","2.0.0","31379","","","","[{""page_index"":0,""viewing_time"":31376}]","31376","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","2","2.0.0","41836","","","","","10452","counterfactual","become hungry","take a walk","<p style=""font-size: 25px;"">A person <strong>thought about something</strong>, then they <strong>took a walk</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>think about something</strong>. <br>Would they still have <strong>taken the same walk</strong>?</p>","50","24","24","","","","","","","","",""
"","","","","","html-slider-response","3","2.0.0","61354","","","","","19514","counterfactual","think about something","take a walk","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>became hungry</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>become hungry all the same</strong>?</p>","50","21","21","","","","","","","","",""
"","","","","","html-slider-response","4","2.0.0","66724","","","","","5367","counterfactual","choose what to do","feel scared","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>got sick</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>gotten sick in the same way</strong>?</p>","50","14","14","","","","","","","","",""
"","","","","","html-slider-response","5","2.0.0","75531","","","","","8803","counterfactual","experience pain","","<p style=""font-size: 25px;"">A person <strong>felt scared</strong>, then they <strong>experienced pain</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>feel scared</strong>. <br>Would they still have <strong>experienced the same pain</strong>?</p>","50","14","14","feel scared","","","","","","","",""
"","","","","","html-slider-response","6","2.0.0","81903","","","","","6368","counterfactual","jump up and down","think about something","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>saw something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>seen the same thing</strong>?</p>","50","6","6","","","","","","","","",""
"","","","","","html-slider-response","7","2.0.0","94848","","","","","12940","counterfactual","sit down","","<p style=""font-size: 25px;"">A person <strong>remembered something</strong>, then they <strong>chose what to do</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>remember something</strong>. <br>Would they still have <strong>chosen to do the same thing</strong>?</p>","50","32","32","jump up and down","","","","","","","",""
"","","","","","html-slider-response","8","2.0.0","104155","","","","","9303","counterfactual","sit down","experience pain","<p style=""font-size: 25px;"">A person <strong>felt scared</strong>, then they <strong>chose what to do</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>feel scared</strong>. <br>Would they still have <strong>chosen to do the same thing</strong>?</p>","50","19","19","","","","","","","","",""
"","","","","","html-slider-response","9","2.0.0","109125","","","","","4966","counterfactual","choose what to do","","<p style=""font-size: 25px;"">A person <strong>got tired</strong>, then they <strong>got sick</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>get tired</strong>. <br>Would they still have <strong>gotten sick in the same way</strong>?</p>","50","37","37","remember something","","","","","","","",""
"","","","","","html-slider-response","10","2.0.0","202874","","","","","93744","counterfactual","hear something","","<p style=""font-size: 25px;"">A person <strong>felt scared</strong>, then they <strong>got tired</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>feel scared</strong>. <br>Would they still have <strong>gotten tired all the same</strong>?</p>","50","64","64","see something","","","","","","","",""
"","","","","","html-slider-response","11","2.0.0","220168","","","","","17291","counterfactual","get tired","","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>sat down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>jump up and down</strong>. <br>Would they still have <strong>sat down at the same place</strong>?</p>","50","41","41","feel scared","","","","","","","",""
"","","","","","html-slider-response","12","2.0.0","226755","","","","","6583","counterfactual","get sick","see something","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>thought about something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>thought the same thing</strong>?</p>","50","58","58","","","","","","","","",""
