"subject_id","itemA","itemB","freesort_distance","trial_type_order","domain_itemA","domain_itemB"
"subj_01","get sick","see something",0.28,"causal_pairs_first","body","mind"
"subj_01","hear something","see something",0.35,"causal_pairs_first","mind","mind"
"subj_01","reach for something","see something",0.91,"causal_pairs_first","action","mind"
"subj_01","remember something","see something",0,"causal_pairs_first","mind","mind"
"subj_01","experience pain","see something",0.3,"causal_pairs_first","body","mind"
"subj_01","take a walk","see something",0.74,"causal_pairs_first","action","mind"
"subj_01","become hungry","see something",0.71,"causal_pairs_first","body","mind"
"subj_01","choose what to do","see something",0.84,"causal_pairs_first","mind","mind"
"subj_01","jump up and down","see something",0.58,"causal_pairs_first","action","mind"
"subj_01","sit down","see something",0.57,"causal_pairs_first","action","mind"
"subj_01","think about something","see something",0.63,"causal_pairs_first","mind","mind"
"subj_01","get tired","see something",0.71,"causal_pairs_first","body","mind"
"subj_01","kick something","see something",0.31,"causal_pairs_first","action","mind"
"subj_01","feel scared","see something",0.53,"causal_pairs_first","body","mind"
"subj_01","see something","get sick",0.28,"causal_pairs_first","mind","body"
"subj_01","hear something","get sick",0.18,"causal_pairs_first","mind","body"
"subj_01","reach for something","get sick",1,"causal_pairs_first","action","body"
"subj_01","remember something","get sick",0.19,"causal_pairs_first","mind","body"
"subj_01","experience pain","get sick",0.59,"causal_pairs_first","body","body"
"subj_01","take a walk","get sick",0.76,"causal_pairs_first","action","body"
"subj_01","become hungry","get sick",0.94,"causal_pairs_first","body","body"
"subj_01","choose what to do","get sick",0.98,"causal_pairs_first","mind","body"
"subj_01","jump up and down","get sick",0.58,"causal_pairs_first","action","body"
"subj_01","sit down","get sick",0.48,"causal_pairs_first","action","body"
"subj_01","think about something","get sick",0.92,"causal_pairs_first","mind","body"
"subj_01","get tired","get sick",0.66,"causal_pairs_first","body","body"
"subj_01","kick something","get sick",0.66,"causal_pairs_first","action","body"
"subj_01","feel scared","get sick",0.28,"causal_pairs_first","body","body"
"subj_01","see something","hear something",0.35,"causal_pairs_first","mind","mind"
"subj_01","get sick","hear something",0.18,"causal_pairs_first","body","mind"
"subj_01","reach for something","hear something",0.71,"causal_pairs_first","action","mind"
"subj_01","remember something","hear something",0.23,"causal_pairs_first","mind","mind"
"subj_01","experience pain","hear something",0.44,"causal_pairs_first","body","mind"
"subj_01","take a walk","hear something",0.46,"causal_pairs_first","action","mind"
"subj_01","become hungry","hear something",0.71,"causal_pairs_first","body","mind"
"subj_01","choose what to do","hear something",0.71,"causal_pairs_first","mind","mind"
"subj_01","jump up and down","hear something",0.28,"causal_pairs_first","action","mind"
