"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","causal_itemA","slider_start","response_value","attn_response","attn_correct","similar_itemA","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","5","6FE2C53AB3AA41A5BD892CE05DD890D2","0198e2e6-5004-7e4d-bd27-8e8f3cb59b01","0198e2d6-5c2e-73f5-8451-25a6796d814f","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","35392","6FE2C53AB3AA41A5BD892CE05DD890D2","0198e2e6-5004-7e4d-bd27-8e8f3cb59b01","0198e2d6-5c2e-73f5-8451-25a6796d814f","consent","35386","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 8 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 8 minutes, your payment will amount to $2.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","41744","6FE2C53AB3AA41A5BD892CE05DD890D2","0198e2e6-5004-7e4d-bd27-8e8f3cb59b01","0198e2d6-5c2e-73f5-8451-25a6796d814f","","6351","","","[{""page_index"":0,""viewing_time"":6351}]","","","","","","","","","","","","",""
"","","","","","html-slider-response","3","2.1.0","52440","6FE2C53AB3AA41A5BD892CE05DD890D2","0198e2e6-5004-7e4d-bd27-8e8f3cb59b01","0198e2d6-5c2e-73f5-8451-25a6796d814f","","10694","<p style=""font-size: 25px;"">A person <strong>experienced pain</strong>, then they <strong>sat down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>experience pain</strong>. <br>Would they still have <strong>sat down at the same place</strong>?</p>","25","","counterfactual","feel scared","see something","50","25","","","","","","","",""
"","","","","","html-slider-response","4","2.1.0","59528","6FE2C53AB3AA41A5BD892CE05DD890D2","0198e2e6-5004-7e4d-bd27-8e8f3cb59b01","0198e2d6-5c2e-73f5-8451-25a6796d814f","","7087","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>jumped up and down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>jumped up and down</strong>?</p>","0","","counterfactual","experience pain","kick something","50","0","","","","","","","",""
"","","","","","html-slider-response","5","2.1.0","64724","6FE2C53AB3AA41A5BD892CE05DD890D2","0198e2e6-5004-7e4d-bd27-8e8f3cb59b01","0198e2d6-5c2e-73f5-8451-25a6796d814f","","5195","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>got tired</strong>.</p>
             <p style=""font-size: 25px;"">For this question, please select <strong>""definitely not""</strong></p>","0","","attention_check_counterfactual","","","50","","0","yes","","","","","",""
"","","","","","html-slider-response","6","2.1.0","69340","6FE2C53AB3AA41A5BD892CE05DD890D2","0198e2e6-5004-7e4d-bd27-8e8f3cb59b01","0198e2d6-5c2e-73f5-8451-25a6796d814f","","4615","<p style=""font-size: 25px;"">A person <strong>got sick</strong>, then they <strong>thought about something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>get sick</strong>. <br>Would they still have <strong>thought the same thing</strong>?</p>","74","","counterfactual","jump up and down","see something","50","74","","","","","","","",""
"","","","","","html-slider-response","7","2.1.0","81576","6FE2C53AB3AA41A5BD892CE05DD890D2","0198e2e6-5004-7e4d-bd27-8e8f3cb59b01","0198e2d6-5c2e-73f5-8451-25a6796d814f","","12236","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>got tired</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>jump up and down</strong>. <br>Would they still have <strong>gotten tired all the same</strong>?</p>","10","","counterfactual","take a walk","think about something","50","10","","","","","","","",""
"","","","","","html-slider-response","8","2.1.0","94104","6FE2C53AB3AA41A5BD892CE05DD890D2","0198e2e6-5004-7e4d-bd27-8e8f3cb59b01","0198e2d6-5c2e-73f5-8451-25a6796d814f","","12527","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>became hungry</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>become hungry all the same</strong>?</p>","87","","counterfactual","sit down","experience pain","50","87","","","","","","","",""
"","","","","","html-slider-response","9","2.1.0","102268","6FE2C53AB3AA41A5BD892CE05DD890D2","0198e2e6-5004-7e4d-bd27-8e8f3cb59b01","0198e2d6-5c2e-73f5-8451-25a6796d814f","","8163","<p style=""font-size: 25px;"">A person <strong>got tired</strong>, then they <strong>experienced pain</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>get tired</strong>. <br>Would they still have <strong>experienced the same pain</strong>?</p>","75","","similarity","experience pain","","50","75","","","get tired","","","","",""
