"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","correct_response_attn","selected_choice","itemB","preceding_causal_itemA","preceding_similar_itemA","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","35","66D0B254AB944CC38DD3DC8F212C6D66","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","21955","66D0B254AB944CC38DD3DC8F212C6D66","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","consent","21912","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> This is a study demo; the purpose of the study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. <p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. <p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","33402","66D0B254AB944CC38DD3DC8F212C6D66","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","11443","","","[{""page_index"":0,""viewing_time"":11442}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.1.0","37874","66D0B254AB944CC38DD3DC8F212C6D66","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","4468","<p style=""font-size: 25px;"">For this question, ignore the previous instructions. <br>Instead, please select <strong>""choose what to do""</strong></p>","0","","attention_check","choose what to do","choose what to do","","","","","","","",""
"","","","","","html-button-response","4","2.1.0","53098","66D0B254AB944CC38DD3DC8F212C6D66","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","15220","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast a spell which gives the creature a special substrate <em>Ulana</em>. <br><em>Ulana</em> gives the creature the capacity to <strong>remember something.</strong> <br>Which other capacity does <em>Ulana</em> give this creature? The capacity to... </p>","0","","named_substrate","","<p style=""font-size: 25px;""><strong>think about something</strong></p>","remember something","take a walk","think about something","","","","",""
"","","","","","html-button-response","5","2.1.0","62738","66D0B254AB944CC38DD3DC8F212C6D66","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","9636","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast a spell which gives the creature a special substrate <em>Ulana</em>. <br><em>Ulana</em> gives the creature the capacity to <strong>become hungry.</strong> <br>Which other capacity does <em>Ulana</em> give this creature? The capacity to... </p>","1","","named_substrate","","<p style=""font-size: 25px;""><strong>take a walk</strong></p>","become hungry","take a walk","feel scared","","","","",""
"","","","","","html-button-response","6","2.1.0","69121","66D0B254AB944CC38DD3DC8F212C6D66","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","6380","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast a spell which gives the creature a special substrate <em>Ulana</em>. <br><em>Ulana</em> gives the creature the capacity to <strong>get tired.</strong> <br>Which other capacity does <em>Ulana</em> give this creature? The capacity to... </p>","1","","named_substrate","","<p style=""font-size: 25px;""><strong>jump up and down</strong></p>","get tired","jump up and down","feel scared","","","","",""
"","","","","","html-button-response","7","2.1.0","73481","66D0B254AB944CC38DD3DC8F212C6D66","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","4355","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast a spell which gives the creature a special substrate <em>Ulana</em>. <br><em>Ulana</em> gives the creature the capacity to <strong>get sick.</strong> <br>Which other capacity does <em>Ulana</em> give this creature? The capacity to... </p>","1","","named_substrate","","<p style=""font-size: 25px;""><strong>see something</strong></p>","get sick","see something","get tired","","","","",""
"","","","","","html-button-response","8","2.1.0","79458","66D0B254AB944CC38DD3DC8F212C6D66","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","5973","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast a spell which gives the creature a special substrate <em>Ulana</em>. <br><em>Ulana</em> gives the creature the capacity to <strong>sit down.</strong> <br>Which other capacity does <em>Ulana</em> give this creature? The capacity to... </p>","0","","named_substrate","","<p style=""font-size: 25px;""><strong>experience pain</strong></p>","sit down","experience pain","jump up and down","","","","",""
"","","","","","html-button-response","9","2.1.0","93417","66D0B254AB944CC38DD3DC8F212C6D66","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","13955","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast a spell which gives the creature a special substrate <em>Ulana</em>. <br><em>Ulana</em> gives the creature the capacity to <strong>choose what to do.</strong> <br>Which other capacity does <em>Ulana</em> give this creature? The capacity to... </p>","0","","named_substrate","","<p style=""font-size: 25px;""><strong>experience pain</strong></p>","choose what to do","experience pain","remember something","","","","",""
