"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","correct_response_attn","selected_choice","itemB","preceding_causal_itemA","preceding_similar_itemA","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","10","3A027EB458E1432AB5977770B373F0CB","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","103366","3A027EB458E1432AB5977770B373F0CB","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","consent","103353","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> This is a study demo; the purpose of the study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. <p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. <p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","109790","3A027EB458E1432AB5977770B373F0CB","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","6423","","","[{""page_index"":0,""viewing_time"":6423}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.1.0","115480","3A027EB458E1432AB5977770B373F0CB","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","5688","<p style=""font-size: 25px;"">For this question, ignore the previous instructions. <br>Instead, please select <strong>""choose what to do""</strong></p>","0","","attention_check","choose what to do","choose what to do","","","","","","","",""
"","","","","","html-button-response","4","2.1.0","123665","3A027EB458E1432AB5977770B373F0CB","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","8184","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast a spell which gives the creature a special substrate <em>Ulana</em>. <br><em>Ulana</em> gives the creature the capacity to <strong>become hungry.</strong> <br>Which other capacity does <em>Ulana</em> give this creature? The capacity to... </p>","1","","named_substrate","","<p style=""font-size: 25px;""><strong>take a walk</strong></p>","become hungry","take a walk","feel scared","","","","",""
"","","","","","html-button-response","5","2.1.0","127889","3A027EB458E1432AB5977770B373F0CB","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","4222","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast a spell which gives the creature a special substrate <em>Ulana</em>. <br><em>Ulana</em> gives the creature the capacity to <strong>experience pain.</strong> <br>Which other capacity does <em>Ulana</em> give this creature? The capacity to... </p>","1","","named_substrate","","<p style=""font-size: 25px;""><strong>get tired</strong></p>","experience pain","kick something","get tired","","","","",""
"","","","","","html-button-response","6","2.1.0","131465","3A027EB458E1432AB5977770B373F0CB","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","3575","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast a spell which gives the creature a special substrate <em>Ulana</em>. <br><em>Ulana</em> gives the creature the capacity to <strong>kick something.</strong> <br>Which other capacity does <em>Ulana</em> give this creature? The capacity to... </p>","0","","named_substrate","","<p style=""font-size: 25px;""><strong>sit down</strong></p>","kick something","think about something","sit down","","","","",""
"","","","","","html-button-response","7","2.1.0","133265","3A027EB458E1432AB5977770B373F0CB","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","1799","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast a spell which gives the creature a special substrate <em>Ulana</em>. <br><em>Ulana</em> gives the creature the capacity to <strong>take a walk.</strong> <br>Which other capacity does <em>Ulana</em> give this creature? The capacity to... </p>","0","","named_substrate","","<p style=""font-size: 25px;""><strong>jump up and down</strong></p>","take a walk","think about something","jump up and down","","","","",""
"","","","","","html-button-response","8","2.1.0","136122","3A027EB458E1432AB5977770B373F0CB","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","2856","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast a spell which gives the creature a special substrate <em>Ulana</em>. <br><em>Ulana</em> gives the creature the capacity to <strong>get tired.</strong> <br>Which other capacity does <em>Ulana</em> give this creature? The capacity to... </p>","0","","named_substrate","","<p style=""font-size: 25px;""><strong>jump up and down</strong></p>","get tired","jump up and down","feel scared","","","","",""
"","","","","","html-button-response","9","2.1.0","139009","3A027EB458E1432AB5977770B373F0CB","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","2886","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast a spell which gives the creature a special substrate <em>Ulana</em>. <br><em>Ulana</em> gives the creature the capacity to <strong>get sick.</strong> <br>Which other capacity does <em>Ulana</em> give this creature? The capacity to... </p>","0","","named_substrate","","<p style=""font-size: 25px;""><strong>get tired</strong></p>","get sick","see something","get tired","","","","",""
