target_item,causal_choice,similar_choice,causal_distance_causal_choice,freesort_distance_causal_choice,freesort_minus_causal_distance_causal,causal_distance_similar_choice,freesort_distance_similar_choice,freesort_minus_causal_distance_similar
see something,take a walk,hear something,0.2,0.58,0.38,0.42,0.18,-0.24
hear something,take a walk,see something,0.25,0.58,0.33,0.44,0.18,-0.27
choose what to do,experience pain,remember something,0.2,0.57,0.36,0.15,0.36,0.22
remember something,take a walk,think about something,0.24,0.61,0.37,0.07,0.15,0.08
think about something,get sick,remember something,0.25,0.65,0.4,0.08,0.15,0.08
reach for something,become hungry,kick something,0.21,0.56,0.35,0.54,0.4,-0.15
sit down,experience pain,jump up and down,0.13,0.58,0.45,0.54,0.3,-0.23
jump up and down,see something,sit down,0.29,0.6,0.32,0.83,0.3,-0.52
kick something,think about something,sit down,0.37,0.6,0.23,0.7,0.42,-0.29
take a walk,think about something,sit down,0.26,0.58,0.32,0.77,0.33,-0.44
get tired,jump up and down,feel scared,0.1,0.54,0.43,0.42,0.4,-0.02
become hungry,take a walk,feel scared,0.18,0.55,0.37,0.67,0.44,-0.22
feel scared,see something,get tired,0.12,0.54,0.42,0.51,0.4,-0.11
experience pain,kick something,get tired,0.13,0.51,0.38,0.43,0.41,-0.02
get sick,see something,get tired,0.38,0.62,0.25,0.39,0.34,-0.06
