target_item,causal_choice,similar_choice,causal_distance_causal_choice,freesort_distance_causal_choice,freesort_minus_causal_distance_causal,causal_distance_similar_choice,freesort_distance_similar_choice,freesort_minus_causal_distance_similar
see something,take a walk,hear something,0.17,0.86,0.69,0.46,0.05,-0.41
hear something,take a walk,see something,0.23,0.86,0.62,0.49,0.05,-0.44
choose what to do,experience pain,remember something,0.17,0.83,0.66,0.1,0.42,0.32
remember something,take a walk,think about something,0.22,0.91,0.69,0,0,0
think about something,get sick,remember something,0.23,1,0.77,0.01,0,-0.01
reach for something,feel scared,kick something,0.24,0.9,0.65,0.62,0.49,-0.14
sit down,experience pain,jump up and down,0.08,0.87,0.79,0.61,0.3,-0.31
jump up and down,see something,sit down,0.28,0.91,0.63,1,0.3,-0.7
kick something,think about something,jump up and down,0.4,0.9,0.5,0.61,0.26,-0.35
take a walk,think about something,jump up and down,0.25,0.86,0.61,0.76,0.17,-0.59
get tired,jump up and down,become hungry,0.04,0.78,0.73,0.33,0.3,-0.03
become hungry,take a walk,experience pain,0.14,0.79,0.65,0.72,0.49,-0.22
feel scared,see something,get tired,0.06,0.78,0.71,0.58,0.5,-0.08
experience pain,take a walk,feel scared,0.25,0.91,0.66,0.34,0.32,-0.02
get sick,see something,experience pain,0.4,0.95,0.55,0.19,0.13,-0.06
