"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","correct_response_attn","selected_choice","itemB","causal_itemA","similar_itemA","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","13","20BBD8537EB741D0908AFFF0683DE8FA","6174a6f2-b53e-49eb-af73-9da6486407e5","96564893-8422-4b16-9829-37cef1b14394","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","198471","20BBD8537EB741D0908AFFF0683DE8FA","6174a6f2-b53e-49eb-af73-9da6486407e5","96564893-8422-4b16-9829-37cef1b14394","consent","198451","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes.</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 4 minutes, your payment will amount to $1.00.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","207508","20BBD8537EB741D0908AFFF0683DE8FA","6174a6f2-b53e-49eb-af73-9da6486407e5","96564893-8422-4b16-9829-37cef1b14394","","9034","","","[{""page_index"":0,""viewing_time"":9033}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.1.0","229420","20BBD8537EB741D0908AFFF0683DE8FA","6174a6f2-b53e-49eb-af73-9da6486407e5","96564893-8422-4b16-9829-37cef1b14394","","21910","<p style=""font-size: 25px;"">For this question, please select ""<strong>choose what to do</strong>""</p>
            <p style=""font-size: 25px;"">Giving the creature the ability to...</p>","0","","attention_check","choose what to do","choose what to do","","","","","","","",""
"","","","","","html-button-response","4","2.1.0","279427","20BBD8537EB741D0908AFFF0683DE8FA","6174a6f2-b53e-49eb-af73-9da6486407e5","96564893-8422-4b16-9829-37cef1b14394","","50005","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>jump up and down</strong>. 
               <br>However you ran out of that specific spell. 
               <br>Which of these other two spells would most likely accomplish your goal?</p>
               <p style=""font-size: 25px;"">Giving the creature the ability to...</p>","1","","similar","","<p style=""font-size: 25px;""><strong>think about something</strong></p>","jump up and down","think about something","sit down","","","","",""
"","","","","","html-button-response","5","2.1.0","295853","20BBD8537EB741D0908AFFF0683DE8FA","6174a6f2-b53e-49eb-af73-9da6486407e5","96564893-8422-4b16-9829-37cef1b14394","","16422","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>become hungry</strong>. 
               <br>However you ran out of that specific spell. 
               <br>Which of these other two spells would most likely accomplish your goal?</p>
               <p style=""font-size: 25px;"">Giving the creature the ability to...</p>","1","","similar","","<p style=""font-size: 25px;""><strong>experience pain</strong></p>","become hungry","take a walk","experience pain","","","","",""
"","","","","","html-button-response","6","2.1.0","299080","20BBD8537EB741D0908AFFF0683DE8FA","6174a6f2-b53e-49eb-af73-9da6486407e5","96564893-8422-4b16-9829-37cef1b14394","","3223","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>take a walk</strong>. 
               <br>However you ran out of that specific spell. 
               <br>Which of these other two spells would most likely accomplish your goal?</p>
               <p style=""font-size: 25px;"">Giving the creature the ability to...</p>","1","","similar","","<p style=""font-size: 25px;""><strong>jump up and down</strong></p>","take a walk","think about something","jump up and down","","","","",""
"","","","","","html-button-response","7","2.1.0","306496","20BBD8537EB741D0908AFFF0683DE8FA","6174a6f2-b53e-49eb-af73-9da6486407e5","96564893-8422-4b16-9829-37cef1b14394","","7413","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>choose what to do</strong>. 
               <br>However you ran out of that specific spell. 
               <br>Which of these other two spells would most likely accomplish your goal?</p>
               <p style=""font-size: 25px;"">Giving the creature the ability to...</p>","0","","similar","","<p style=""font-size: 25px;""><strong>remember something</strong></p>","choose what to do","feel scared","remember something","","","","",""
"","","","","","html-button-response","8","2.1.0","311564","20BBD8537EB741D0908AFFF0683DE8FA","6174a6f2-b53e-49eb-af73-9da6486407e5","96564893-8422-4b16-9829-37cef1b14394","","5067","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>get tired</strong>. 
               <br>However you ran out of that specific spell. 
               <br>Which of these other two spells would most likely accomplish your goal?</p>
               <p style=""font-size: 25px;"">Giving the creature the ability to...</p>","0","","similar","","<p style=""font-size: 25px;""><strong>jump up and down</strong></p>","get tired","jump up and down","feel scared","","","","",""
"","","","","","html-button-response","9","2.1.0","331588","20BBD8537EB741D0908AFFF0683DE8FA","6174a6f2-b53e-49eb-af73-9da6486407e5","96564893-8422-4b16-9829-37cef1b14394","","20021","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>see something</strong>. 
               <br>However you ran out of that specific spell. 
               <br>Which of these other two spells would most likely accomplish your goal?</p>
               <p style=""font-size: 25px;"">Giving the creature the ability to...</p>","1","","similar","","<p style=""font-size: 25px;""><strong>hear something</strong></p>","see something","take a walk","hear something","","","","",""
