subject_id,condition,itemB,causal_itemA,similar_itemA,response,domain_itemB,domain_causalitemA,domain_similarityitemA
subj_03,following,hear something,feel scared,see something,similar,mind,bio,mind
subj_03,following,jump up and down,get tired,take a walk,similar,action,bio,action
subj_03,following,feel scared,think about something,become hungry,causal,bio,mind,bio
subj_03,following,sit down,think about something,jump up and down,similar,action,mind,action
subj_03,following,experience pain,sit down,become hungry,similar,bio,action,bio
subj_03,following,see something,feel scared,hear something,similar,mind,bio,mind
subj_03,following,reach for something,experience pain,take a walk,similar,action,bio,action
subj_03,following,get tired,sit down,become hungry,similar,bio,action,bio
subj_03,following,become hungry,think about something,feel scared,similar,bio,mind,bio
subj_03,following,take a walk,get tired,jump up and down,similar,action,bio,action
subj_03,following,choose what to do,feel scared,hear something,causal,mind,bio,mind
subj_03,following,remember something,feel scared,hear something,causal,mind,bio,mind
subj_03,following,get sick,sit down,become hungry,similar,bio,action,bio
subj_03,following,kick something,experience pain,NA,similar,action,bio,NA
subj_03,following,think about something,feel scared,hear something,causal,mind,bio,mind
subj_05,following,kick something,experience pain,NA,similar,action,bio,NA
subj_05,following,sit down,think about something,jump up and down,causal,action,mind,action
subj_05,following,remember something,feel scared,hear something,causal,mind,bio,mind
subj_05,following,get tired,sit down,become hungry,causal,bio,action,bio
subj_05,following,experience pain,sit down,become hungry,similar,bio,action,bio
subj_05,following,take a walk,get tired,jump up and down,similar,action,bio,action
subj_05,following,see something,feel scared,hear something,similar,mind,bio,mind
subj_05,following,reach for something,experience pain,take a walk,causal,action,bio,action
subj_05,following,think about something,feel scared,hear something,similar,mind,bio,mind
subj_05,following,feel scared,think about something,become hungry,causal,bio,mind,bio
subj_05,following,jump up and down,get tired,take a walk,similar,action,bio,action
subj_05,following,choose what to do,feel scared,hear something,causal,mind,bio,mind
subj_05,following,become hungry,think about something,feel scared,similar,bio,mind,bio
subj_05,following,hear something,feel scared,see something,causal,mind,bio,mind
subj_05,following,get sick,sit down,become hungry,similar,bio,action,bio
subj_06,following,choose what to do,feel scared,hear something,similar,mind,bio,mind
subj_06,following,become hungry,think about something,feel scared,causal,bio,mind,bio
subj_06,following,sit down,think about something,jump up and down,similar,action,mind,action
subj_06,following,reach for something,experience pain,take a walk,similar,action,bio,action
subj_06,following,hear something,feel scared,see something,similar,mind,bio,mind
subj_06,following,think about something,feel scared,hear something,similar,mind,bio,mind
subj_06,following,get tired,sit down,become hungry,similar,bio,action,bio
subj_06,following,get sick,sit down,become hungry,similar,bio,action,bio
subj_06,following,kick something,experience pain,NA,similar,action,bio,NA
subj_06,following,take a walk,get tired,jump up and down,similar,action,bio,action
subj_06,following,see something,feel scared,hear something,causal,mind,bio,mind
subj_06,following,feel scared,think about something,become hungry,causal,bio,mind,bio
subj_06,following,jump up and down,get tired,take a walk,similar,action,bio,action
subj_06,following,experience pain,sit down,become hungry,similar,bio,action,bio
subj_06,following,remember something,feel scared,hear something,similar,mind,bio,mind
subj_07,following,see something,feel scared,hear something,similar,mind,bio,mind
subj_07,following,sit down,think about something,jump up and down,similar,action,mind,action
subj_07,following,choose what to do,feel scared,hear something,causal,mind,bio,mind
subj_07,following,kick something,experience pain,NA,causal,action,bio,NA
subj_07,following,experience pain,sit down,become hungry,similar,bio,action,bio
subj_07,following,think about something,feel scared,hear something,causal,mind,bio,mind
subj_07,following,reach for something,experience pain,take a walk,similar,action,bio,action
subj_07,following,hear something,feel scared,see something,causal,mind,bio,mind
subj_07,following,get sick,sit down,become hungry,similar,bio,action,bio
subj_07,following,get tired,sit down,become hungry,causal,bio,action,bio
subj_07,following,feel scared,think about something,become hungry,causal,bio,mind,bio
subj_07,following,take a walk,get tired,jump up and down,similar,action,bio,action
subj_07,following,become hungry,think about something,feel scared,causal,bio,mind,bio
subj_07,following,remember something,feel scared,hear something,causal,mind,bio,mind
subj_07,following,jump up and down,get tired,take a walk,similar,action,bio,action
subj_08,following,experience pain,sit down,become hungry,similar,bio,action,bio
subj_08,following,reach for something,experience pain,take a walk,similar,action,bio,action
subj_08,following,jump up and down,get tired,take a walk,causal,action,bio,action
subj_08,following,feel scared,think about something,become hungry,causal,bio,mind,bio
subj_08,following,see something,feel scared,hear something,similar,mind,bio,mind
subj_08,following,hear something,feel scared,see something,similar,mind,bio,mind
subj_08,following,remember something,feel scared,hear something,similar,mind,bio,mind
subj_08,following,get sick,sit down,become hungry,similar,bio,action,bio
subj_08,following,kick something,experience pain,NA,causal,action,bio,NA
subj_08,following,choose what to do,feel scared,hear something,causal,mind,bio,mind
subj_08,following,take a walk,get tired,jump up and down,causal,action,bio,action
subj_08,following,think about something,feel scared,hear something,causal,mind,bio,mind
subj_08,following,get tired,sit down,become hungry,similar,bio,action,bio
subj_08,following,sit down,think about something,jump up and down,similar,action,mind,action
subj_08,following,become hungry,think about something,feel scared,similar,bio,mind,bio
subj_09,following,choose what to do,feel scared,hear something,similar,mind,bio,mind
subj_09,following,feel scared,think about something,become hungry,similar,bio,mind,bio
subj_09,following,reach for something,experience pain,take a walk,similar,action,bio,action
subj_09,following,get sick,sit down,become hungry,similar,bio,action,bio
subj_09,following,take a walk,get tired,jump up and down,similar,action,bio,action
subj_09,following,kick something,experience pain,NA,similar,action,bio,NA
subj_09,following,jump up and down,get tired,take a walk,similar,action,bio,action
subj_09,following,remember something,feel scared,hear something,causal,mind,bio,mind
subj_09,following,think about something,feel scared,hear something,causal,mind,bio,mind
subj_09,following,sit down,think about something,jump up and down,similar,action,mind,action
subj_09,following,get tired,sit down,become hungry,similar,bio,action,bio
subj_09,following,become hungry,think about something,feel scared,similar,bio,mind,bio
subj_09,following,see something,feel scared,hear something,similar,mind,bio,mind
subj_09,following,hear something,feel scared,see something,similar,mind,bio,mind
subj_09,following,experience pain,sit down,become hungry,similar,bio,action,bio
subj_10,following,become hungry,think about something,feel scared,similar,bio,mind,bio
subj_10,following,reach for something,experience pain,take a walk,similar,action,bio,action
