subject_id,condition,itemB,causal_itemA,similar_itemA,response,domain_itemB,domain_causalitemA,domain_similaritemA,causal_distance_causal_choice,freesort_distance_causal_choice,freesort_minus_causal_distance_causal,causal_distance_similar_choice,freesort_distance_similar_choice,freesort_minus_causal_distance_similar
subj_01,Ordinary,experience pain,kick something,get tired,CC,bio,action,bio,0.13,0.51,0.38,0.43,0.41,-0.02
subj_01,Ordinary,get tired,jump up and down,feel scared,CC,bio,action,bio,0.1,0.54,0.43,0.42,0.4,-0.02
subj_01,Ordinary,get sick,see something,get tired,CO,bio,mind,bio,0.38,0.62,0.25,0.39,0.34,-0.06
subj_01,Ordinary,feel scared,see something,get tired,CC,bio,mind,bio,0.12,0.54,0.42,0.51,0.4,-0.11
subj_01,Ordinary,sit down,experience pain,jump up and down,CO,action,bio,action,0.13,0.58,0.45,0.54,0.3,-0.23
subj_01,Ordinary,choose what to do,experience pain,remember something,CO,mind,bio,mind,0.2,0.57,0.36,0.15,0.36,0.22
subj_01,Ordinary,become hungry,take a walk,feel scared,CC,bio,action,bio,0.18,0.55,0.37,0.67,0.44,-0.22
subj_01,Ordinary,see something,take a walk,hear something,CC,mind,action,mind,0.2,0.58,0.38,0.42,0.18,-0.24
subj_01,Ordinary,think about something,get sick,remember something,CO,mind,bio,mind,0.25,0.65,0.4,0.08,0.15,0.08
subj_01,Ordinary,jump up and down,see something,sit down,CO,action,mind,action,0.29,0.6,0.32,0.83,0.3,-0.52
subj_01,Ordinary,kick something,think about something,sit down,CC,action,mind,action,0.37,0.6,0.23,0.7,0.42,-0.29
subj_01,Ordinary,take a walk,think about something,sit down,CO,action,mind,action,0.26,0.58,0.32,0.77,0.33,-0.44
subj_01,Ordinary,hear something,take a walk,see something,CC,mind,action,mind,0.25,0.58,0.33,0.44,0.18,-0.27
subj_01,Ordinary,reach for something,become hungry,kick something,CO,action,bio,action,0.21,0.56,0.35,0.54,0.4,-0.15
subj_01,Ordinary,remember something,take a walk,think about something,CO,mind,action,mind,0.24,0.61,0.37,0.07,0.15,0.08
subj_02,Ordinary,experience pain,kick something,get tired,CC,bio,action,bio,0.13,0.51,0.38,0.43,0.41,-0.02
subj_02,Ordinary,see something,take a walk,hear something,CC,mind,action,mind,0.2,0.58,0.38,0.42,0.18,-0.24
subj_02,Ordinary,get sick,see something,get tired,CC,bio,mind,bio,0.38,0.62,0.25,0.39,0.34,-0.06
subj_02,Ordinary,take a walk,think about something,sit down,CC,action,mind,action,0.26,0.58,0.32,0.77,0.33,-0.44
subj_02,Ordinary,choose what to do,experience pain,remember something,CO,mind,bio,mind,0.2,0.57,0.36,0.15,0.36,0.22
subj_02,Ordinary,feel scared,see something,get tired,CC,bio,mind,bio,0.12,0.54,0.42,0.51,0.4,-0.11
subj_02,Ordinary,remember something,take a walk,think about something,CO,mind,action,mind,0.24,0.61,0.37,0.07,0.15,0.08
subj_02,Ordinary,become hungry,take a walk,feel scared,CC,bio,action,bio,0.18,0.55,0.37,0.67,0.44,-0.22
subj_02,Ordinary,hear something,take a walk,see something,CC,mind,action,mind,0.25,0.58,0.33,0.44,0.18,-0.27
subj_02,Ordinary,get tired,jump up and down,feel scared,CC,bio,action,bio,0.1,0.54,0.43,0.42,0.4,-0.02
subj_02,Ordinary,jump up and down,see something,sit down,CC,action,mind,action,0.29,0.6,0.32,0.83,0.3,-0.52
subj_02,Ordinary,think about something,get sick,remember something,CO,mind,bio,mind,0.25,0.65,0.4,0.08,0.15,0.08
subj_02,Ordinary,sit down,experience pain,jump up and down,CC,action,bio,action,0.13,0.58,0.45,0.54,0.3,-0.23
subj_02,Ordinary,reach for something,become hungry,kick something,CO,action,bio,action,0.21,0.56,0.35,0.54,0.4,-0.15
subj_02,Ordinary,kick something,think about something,sit down,CC,action,mind,action,0.37,0.6,0.23,0.7,0.42,-0.29
