target_item,causal_choice,similar_choice,causal_distance_causal_choice,freesort_distance_causal_choice,freesort_minus_causal_distance_causal,causal_distance_similar_choice,freesort_distance_similar_choice,freesort_minus_causal_distance_similar
see something,feel scared,hear something,0.12,0.54,0.41807947019867553,0.44,0.18,-0.26523178807947023
hear something,feel scared,see something,0.12,0.48,0.36112582781456953,0.42,0.18,-0.23900662251655627
choose what to do,feel scared,hear something,0.28,0.54,0.25768211920529804,0.5,0.49,-0.012649006622516556
remember something,feel scared,hear something,0.15,0.52,0.3710596026490066,0.51,0.32,-0.186092715231788
think about something,feel scared,hear something,0.14,0.54,0.4013907284768212,0.49,0.34,-0.1435099337748344
reach for something,experience pain,take a walk,0.29,0.58,0.29483443708609275,0.62,0.41,-0.20615894039735094
sit down,think about something,jump up and down,0.26,0.61,0.35178807947019874,0.83,0.3,-0.5245033112582782
jump up and down,get tired,take a walk,0.1,0.54,0.43357615894039736,0.64,0.24,-0.4068211920529801
kick something,experience pain,take a walk,0.13,0.51,0.3833112582781457,0.59,0.33,-0.25900662251655626
take a walk,get tired,jump up and down,0.12,0.53,0.4184105960264901,0.63,0.24,-0.38980132450331123
get tired,sit down,become hungry,0.09,0.46,0.36847682119205294,0.44,0.3,-0.13814569536423843
become hungry,think about something,feel scared,0.19,0.58,0.389205298013245,0.55,0.44,-0.1073509933774835
feel scared,think about something,become hungry,0.14,0.54,0.39761589403973513,0.67,0.44,-0.22298013245033116
experience pain,sit down,become hungry,0.13,0.58,0.4543046357615894,0.61,0.4,-0.21483443708609273
get sick,sit down,become hungry,0.14,0.55,0.40589403973509935,0.49,0.36,-0.12496688741721851
