"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","correct_response_attn","selected_choice","first_item","first_past_tense","third_item","middle_causal","middle_similar","biological_substrate","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","6","E86C910743DE4B7BBEAEE58113664AB6","019b335f-664e-7293-b7d5-ae7619534e3f","019b335b-d18e-7912-88ea-7560ffa79034","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","29866","E86C910743DE4B7BBEAEE58113664AB6","019b335f-664e-7293-b7d5-ae7619534e3f","019b335b-d18e-7912-88ea-7560ffa79034","consent","29859","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 6 minutes.</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 6 minutes, your payment will amount to $1.50.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","49346","E86C910743DE4B7BBEAEE58113664AB6","019b335f-664e-7293-b7d5-ae7619534e3f","019b335b-d18e-7912-88ea-7560ffa79034","","19479","","","[{""page_index"":0,""viewing_time"":19479}]","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","2.1.0","54638","E86C910743DE4B7BBEAEE58113664AB6","019b335f-664e-7293-b7d5-ae7619534e3f","019b335b-d18e-7912-88ea-7560ffa79034","","5291","<p style=""font-size: 25px;"">For this question, please select ""<strong>jump up and down</strong>""</p>
    ","1","","attention_check_causal_chain","jump up and down","jump up and down","","","","","","","","","","",""
"","","","","","html-button-response","4","2.1.0","71254","E86C910743DE4B7BBEAEE58113664AB6","019b335f-664e-7293-b7d5-ae7619534e3f","019b335b-d18e-7912-88ea-7560ffa79034","","16615","
      <p style=""font-size: 25px;"">Which phrase best fits the blank?</p>
      <br>
      <p style=""font-size: 25px;"">Someone <strong>remembered something</strong>,
      which made them ____________ , which made them <strong>hear something</strong>.</p>
      <br>
      ","1","","causal_chain","","<p style=""font-size: 25px;""><strong>think about something</strong></p>","remember something","remembered something","hear something","feel scared","think about something","BRCA1","","","","",""
"","","","","","html-button-response","5","2.1.0","79610","E86C910743DE4B7BBEAEE58113664AB6","019b335f-664e-7293-b7d5-ae7619534e3f","019b335b-d18e-7912-88ea-7560ffa79034","","8355","
      <p style=""font-size: 25px;"">Which phrase best fits the blank?</p>
      <br>
      <p style=""font-size: 25px;"">Someone <strong>got sick</strong>,
      which made them ____________ , which made them <strong>become hungry</strong>.</p>
      <br>
      ","0","","causal_chain","","<p style=""font-size: 25px;""><strong>experience pain</strong></p>","get sick","got sick","become hungry","remember something","experience pain","FTR54","","","","",""
"","","","","","html-button-response","6","2.1.0","86942","E86C910743DE4B7BBEAEE58113664AB6","019b335f-664e-7293-b7d5-ae7619534e3f","019b335b-d18e-7912-88ea-7560ffa79034","","7331","
      <p style=""font-size: 25px;"">Which phrase best fits the blank?</p>
      <br>
      <p style=""font-size: 25px;"">Someone <strong>became hungry</strong>,
      which made them ____________ , which made them <strong>feel scared</strong>.</p>
      <br>
      ","0","","causal_chain","","<p style=""font-size: 25px;""><strong>think about something</strong></p>","become hungry","became hungry","feel scared","think about something","get tired","CD8R1","","","","",""
"","","","","","html-button-response","7","2.1.0","98454","E86C910743DE4B7BBEAEE58113664AB6","019b335f-664e-7293-b7d5-ae7619534e3f","019b335b-d18e-7912-88ea-7560ffa79034","","11511","
      <p style=""font-size: 25px;"">Which phrase best fits the blank?</p>
      <br>
      <p style=""font-size: 25px;"">Someone <strong>sat down</strong>,
      which made them ____________ , which made them <strong>jump up and down</strong>.</p>
      <br>
      ","0","","causal_chain","","<p style=""font-size: 25px;""><strong>take a walk</strong></p>","sit down","sat down","jump up and down","experience pain","take a walk","VF501","","","","",""
"","","","","","html-button-response","8","2.1.0","107438","E86C910743DE4B7BBEAEE58113664AB6","019b335f-664e-7293-b7d5-ae7619534e3f","019b335b-d18e-7912-88ea-7560ffa79034","","8983","
      <p style=""font-size: 25px;"">Which phrase best fits the blank?</p>
      <br>
      <p style=""font-size: 25px;"">Someone <strong>got tired</strong>,
      which made them ____________ , which made them <strong>feel scared</strong>.</p>
      <br>
      ","0","","causal_chain","","<p style=""font-size: 25px;""><strong>become hungry</strong></p>","get tired","got tired","feel scared","choose what to do","become hungry","HFE1A","","","","",""
"","","","","","html-button-response","9","2.1.0","113114","E86C910743DE4B7BBEAEE58113664AB6","019b335f-664e-7293-b7d5-ae7619534e3f","019b335b-d18e-7912-88ea-7560ffa79034","","5675","
      <p style=""font-size: 25px;"">Which phrase best fits the blank?</p>
      <br>
      <p style=""font-size: 25px;"">Someone <strong>jumped up and down</strong>,
      which made them ____________ , which made them <strong>sit down</strong>.</p>
      <br>
      ","0","","causal_chain","","<p style=""font-size: 25px;""><strong>get tired</strong></p>","jump up and down","jumped up and down","sit down","get tired","take a walk","TRE89","","","","",""
