"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","causal_itemA","slider_start","similar_itemA","attn_response","attn_correct","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","6","A2C3521E6A2B4866B24DB573FC5C8F37","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","3043","A2C3521E6A2B4866B24DB573FC5C8F37","","019962ea-f9ac-7016-9d17-26108c8e2fd7","consent","3035","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 5 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 5 minutes, your payment will amount to $1.25.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","11448","A2C3521E6A2B4866B24DB573FC5C8F37","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","8401","","","[{""page_index"":0,""viewing_time"":8401}]","","","","","","","","","","","",""
"","","","","","html-slider-response","3","2.1.0","18109","A2C3521E6A2B4866B24DB573FC5C8F37","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","6658","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>experienced pain</strong> because they <strong>kicked something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","0","","causal","experience pain","kick something","50","","","","","","","",""
"","","","","","html-slider-response","4","2.1.0","25359","A2C3521E6A2B4866B24DB573FC5C8F37","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","7246","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>jumped up and down</strong> because they <strong>thought about something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","74","","causal","jump up and down","think about something","50","","","","","","","",""
"","","","","","html-slider-response","5","2.1.0","29633","A2C3521E6A2B4866B24DB573FC5C8F37","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","4270","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>kicked something</strong> because they <strong>thought about something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","15","","causal","kick something","think about something","50","","","","","","","",""
"","","","","","html-slider-response","6","2.1.0","34032","A2C3521E6A2B4866B24DB573FC5C8F37","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","4397","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>became hungry</strong> because they <strong>experienced pain</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","7","","similar","become hungry","","50","experience pain","","","","","","",""
"","","","","","html-slider-response","7","2.1.0","38444","A2C3521E6A2B4866B24DB573FC5C8F37","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","4410","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>felt scared</strong> because they <strong>saw something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","2","","causal","feel scared","see something","50","","","","","","","",""
"","","","","","html-slider-response","8","2.1.0","43456","A2C3521E6A2B4866B24DB573FC5C8F37","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","5009","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>heard something</strong> because they <strong>saw something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","39","","similar","hear something","","50","see something","","","","","","",""
"","","","","","html-slider-response","9","2.1.0","46254","A2C3521E6A2B4866B24DB573FC5C8F37","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","2794","<p style=""font-size: 25px;"">Consider the following statement: </p>
             <p style=""font-size: 25px;"">Someone <strong>took a walk</strong>. </p>
             <p style=""font-size: 25px;"">For this question, please move the slider to <strong>""Extremely satisfying""</strong></p>","100","","attention_check_1","","","50","","100","yes","","","","",""
