"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","correct_response_attn","selected_choice","itemB","causal_itemA","similar_itemA","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","3","CFEA8E05CD284286A0495E7688A33342","","019a7554-4882-75ac-add4-95f1a495302d","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","35404","CFEA8E05CD284286A0495E7688A33342","","019a7554-4882-75ac-add4-95f1a495302d","consent","35400","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> This is a study demo; the purpose of the study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. <p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. <p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","50456","CFEA8E05CD284286A0495E7688A33342","","019a7554-4882-75ac-add4-95f1a495302d","","15051","","","[{""page_index"":0,""viewing_time"":15051}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.1.0","54082","CFEA8E05CD284286A0495E7688A33342","","019a7554-4882-75ac-add4-95f1a495302d","","3624","<p style=""font-size: 25px;"">For this question, please ignore previous instructions and select ""<strong>choose what to do</strong>"".
            <br>I would make them...</p>","0","","attention_check_ordinary","choose what to do","choose what to do","","","","","","","",""
"","","","","","html-button-response","4","2.1.0","69691","CFEA8E05CD284286A0495E7688A33342","","019a7554-4882-75ac-add4-95f1a495302d","","15608","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>reach for something</strong>? <br>I would make them... </p>","0","","ordinary","","<p style=""font-size: 25px;""><strong>become hungry</strong></p>","reach for something","become hungry","kick something","","","","",""
"","","","","","html-button-response","5","2.1.0","79398","CFEA8E05CD284286A0495E7688A33342","","019a7554-4882-75ac-add4-95f1a495302d","","9705","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>get tired</strong>? <br>I would make them... </p>","1","","ordinary","","<p style=""font-size: 25px;""><strong>jump up and down</strong></p>","get tired","jump up and down","feel scared","","","","",""
"","","","","","html-button-response","6","2.1.0","86643","CFEA8E05CD284286A0495E7688A33342","","019a7554-4882-75ac-add4-95f1a495302d","","7243","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>hear something</strong>? <br>I would make them... </p>","1","","ordinary","","<p style=""font-size: 25px;""><strong>take a walk</strong></p>","hear something","take a walk","see something","","","","",""
"","","","","","html-button-response","7","2.1.0","91199","CFEA8E05CD284286A0495E7688A33342","","019a7554-4882-75ac-add4-95f1a495302d","","4554","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>take a walk</strong>? <br>I would make them... </p>","1","","ordinary","","<p style=""font-size: 25px;""><strong>think about something</strong></p>","take a walk","think about something","sit down","","","","",""
"","","","","","html-button-response","8","2.1.0","95100","CFEA8E05CD284286A0495E7688A33342","","019a7554-4882-75ac-add4-95f1a495302d","","3899","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>sit down</strong>? <br>I would make them... </p>","0","","ordinary","","<p style=""font-size: 25px;""><strong>experience pain</strong></p>","sit down","experience pain","jump up and down","","","","",""
"","","","","","html-button-response","9","2.1.0","98833","CFEA8E05CD284286A0495E7688A33342","","019a7554-4882-75ac-add4-95f1a495302d","","3732","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>remember something</strong>? <br>I would make them... </p>","0","","ordinary","","<p style=""font-size: 25px;""><strong>think about something</strong></p>","remember something","take a walk","think about something","","","","",""
"","","","","","html-button-response","10","2.1.0","104265","CFEA8E05CD284286A0495E7688A33342","","019a7554-4882-75ac-add4-95f1a495302d","","5430","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>see something</strong>? <br>I would make them... </p>","1","","ordinary","","<p style=""font-size: 25px;""><strong>take a walk</strong></p>","see something","take a walk","hear something","","","","",""
"","","","","","html-button-response","11","2.1.0","107664","CFEA8E05CD284286A0495E7688A33342","","019a7554-4882-75ac-add4-95f1a495302d","","3397","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>become hungry</strong>? <br>I would make them... </p>","1","","ordinary","","<p style=""font-size: 25px;""><strong>take a walk</strong></p>","become hungry","take a walk","feel scared","","","","",""
"","","","","","html-button-response","12","2.1.0","111597","CFEA8E05CD284286A0495E7688A33342","","019a7554-4882-75ac-add4-95f1a495302d","","3931","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>experience pain</strong>? <br>I would make them... </p>","1","","ordinary","","<p style=""font-size: 25px;""><strong>kick something</strong></p>","experience pain","kick something","get tired","","","","",""
"","","","","","html-button-response","13","2.1.0","116078","CFEA8E05CD284286A0495E7688A33342","","019a7554-4882-75ac-add4-95f1a495302d","","4480","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>choose what to do</strong>? <br>I would make them... </p>","1","","ordinary","","<p style=""font-size: 25px;""><strong>remember something</strong></p>","choose what to do","experience pain","remember something","","","","",""
"","","","","","html-button-response","14","2.1.0","123081","CFEA8E05CD284286A0495E7688A33342","","019a7554-4882-75ac-add4-95f1a495302d","","7002","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>get sick</strong>? <br>I would make them... </p>","1","","ordinary","","<p style=""font-size: 25px;""><strong>get tired</strong></p>","get sick","see something","get tired","","","","",""
"","","","","","html-button-response","15","2.1.0","130044","CFEA8E05CD284286A0495E7688A33342","","019a7554-4882-75ac-add4-95f1a495302d","","6961","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>kick something</strong>? <br>I would make them... </p>","0","","ordinary","","<p style=""font-size: 25px;""><strong>think about something</strong></p>","kick something","think about something","sit down","","","","",""
"","","","","","html-button-response","16","2.1.0","132956","CFEA8E05CD284286A0495E7688A33342","","019a7554-4882-75ac-add4-95f1a495302d","","2911","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>feel scared</strong>? <br>I would make them... </p>","1","","ordinary","","<p style=""font-size: 25px;""><strong>see something</strong></p>","feel scared","see something","get tired","","","","",""
"","","","","","html-button-response","17","2.1.0","141902","CFEA8E05CD284286A0495E7688A33342","","019a7554-4882-75ac-add4-95f1a495302d","","8944","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>jump up and down</strong>? <br>I would make them... </p>","1","","ordinary","","<p style=""font-size: 25px;""><strong>see something</strong></p>","jump up and down","see something","sit down","","","","",""
"","","","","","html-button-response","18","2.1.0","145754","CFEA8E05CD284286A0495E7688A33342","","019a7554-4882-75ac-add4-95f1a495302d","","3851","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>think about something</strong>? <br>I would make them... </p>","0","","ordinary","","<p style=""font-size: 25px;""><strong>remember something</strong></p>","think about something","get sick","remember something","","","","",""
"","","","","","instructions","19","2.1.0","161744","CFEA8E05CD284286A0495E7688A33342","","019a7554-4882-75ac-add4-95f1a495302d","","15989","","","[{""page_index"":0,""viewing_time"":15989}]","","","","","","","","","","",""
