"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","correct_response_attn","selected_choice","itemB","causal_itemA","similar_itemA","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","8","C90A736CBD2E42469E67DBD9712850A3","","019a7554-4882-75ac-add4-95f1a495302d","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","5623","C90A736CBD2E42469E67DBD9712850A3","","019a7554-4882-75ac-add4-95f1a495302d","consent","5614","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> This is a study demo; the purpose of the study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. <p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. <p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","12382","C90A736CBD2E42469E67DBD9712850A3","","019a7554-4882-75ac-add4-95f1a495302d","","6759","","","[{""page_index"":0,""viewing_time"":6758}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.1.0","17414","C90A736CBD2E42469E67DBD9712850A3","","019a7554-4882-75ac-add4-95f1a495302d","","5031","<p style=""font-size: 25px;"">For this question, please ignore previous instructions and select ""<strong>choose what to do</strong>"".
            <br>I would make them...</p>","0","","attention_check_ordinary","choose what to do","choose what to do","","","","","","","",""
"","","","","","html-button-response","4","2.1.0","21791","C90A736CBD2E42469E67DBD9712850A3","","019a7554-4882-75ac-add4-95f1a495302d","","4375","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>experience pain</strong>? <br>I would make them... </p>","0","","ordinary","","<p style=""font-size: 25px;""><strong>kick something</strong></p>","experience pain","kick something","get tired","","","","",""
"","","","","","html-button-response","5","2.1.0","29279","C90A736CBD2E42469E67DBD9712850A3","","019a7554-4882-75ac-add4-95f1a495302d","","7487","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>hear something</strong>? <br>I would make them... </p>","0","","ordinary","","<p style=""font-size: 25px;""><strong>see something</strong></p>","hear something","take a walk","see something","","","","",""
"","","","","","html-button-response","6","2.1.0","31750","C90A736CBD2E42469E67DBD9712850A3","","019a7554-4882-75ac-add4-95f1a495302d","","2471","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>get tired</strong>? <br>I would make them... </p>","0","","ordinary","","<p style=""font-size: 25px;""><strong>jump up and down</strong></p>","get tired","jump up and down","feel scared","","","","",""
"","","","","","html-button-response","7","2.1.0","36694","C90A736CBD2E42469E67DBD9712850A3","","019a7554-4882-75ac-add4-95f1a495302d","","4943","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>feel scared</strong>? <br>I would make them... </p>","0","","ordinary","","<p style=""font-size: 25px;""><strong>see something</strong></p>","feel scared","see something","get tired","","","","",""
"","","","","","html-button-response","8","2.1.0","40478","C90A736CBD2E42469E67DBD9712850A3","","019a7554-4882-75ac-add4-95f1a495302d","","3783","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>kick something</strong>? <br>I would make them... </p>","0","","ordinary","","<p style=""font-size: 25px;""><strong>think about something</strong></p>","kick something","think about something","sit down","","","","",""
"","","","","","html-button-response","9","2.1.0","42710","C90A736CBD2E42469E67DBD9712850A3","","019a7554-4882-75ac-add4-95f1a495302d","","2231","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>reach for something</strong>? <br>I would make them... </p>","0","","ordinary","","<p style=""font-size: 25px;""><strong>become hungry</strong></p>","reach for something","become hungry","kick something","","","","",""
"","","","","","html-button-response","10","2.1.0","45014","C90A736CBD2E42469E67DBD9712850A3","","019a7554-4882-75ac-add4-95f1a495302d","","2303","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>see something</strong>? <br>I would make them... </p>","0","","ordinary","","<p style=""font-size: 25px;""><strong>hear something</strong></p>","see something","take a walk","hear something","","","","",""
