subject_id,condition,first_item,middle_causal,middle_similar,third_item,response,domain_first_item,domain_third_item,domain_middle_causal,domain_middle_similar,freesort_minus_causal_distance_causal,rank_causal,freesort_minus_causal_distance_similar,rank_similar,joint_distance_difference
subj_01,Intrinsic Cause,see something,take a walk,remember something,hear something,Intrinsic,mind,mind,action,mind,0.58,1,0.05,13,0.5299999999999999
subj_01,Intrinsic Cause,become hungry,think about something,get tired,feel scared,Direct,bio,bio,mind,bio,0.7,1,-0.06,13,0.76
subj_01,Intrinsic Cause,choose what to do,take a walk,see something,hear something,Intrinsic,mind,mind,action,mind,0.49,1,-0.13,13,0.62
subj_01,Intrinsic Cause,get tired,choose what to do,become hungry,feel scared,Intrinsic,bio,bio,mind,bio,0.53,3,-0.12,13,0.65
subj_01,Intrinsic Cause,jump up and down,get tired,take a walk,sit down,Intrinsic,action,action,bio,action,0.66,2,-0.4,13,1.06
subj_01,Intrinsic Cause,remember something,feel scared,think about something,hear something,Intrinsic,mind,mind,bio,mind,0.46,3,-0.09,12,0.55
subj_01,Intrinsic Cause,take a walk,see something,jump up and down,reach for something,Intrinsic,action,action,mind,action,0.54,6,-0.33,13,0.8700000000000001
subj_01,Intrinsic Cause,get sick,remember something,experience pain,become hungry,Intrinsic,bio,bio,mind,bio,0.52,3,-0.05,13,0.5700000000000001
subj_01,Intrinsic Cause,sit down,experience pain,take a walk,jump up and down,Intrinsic,action,action,bio,action,0.4,5,-0.57,13,0.97
subj_02,Intrinsic Cause,get tired,choose what to do,become hungry,feel scared,Intrinsic,bio,bio,mind,bio,0.53,3,-0.12,13,0.65
subj_02,Intrinsic Cause,remember something,feel scared,think about something,hear something,Intrinsic,mind,mind,bio,mind,0.46,3,-0.09,12,0.55
subj_02,Intrinsic Cause,get sick,remember something,experience pain,become hungry,Intrinsic,bio,bio,mind,bio,0.52,3,-0.05,13,0.5700000000000001
subj_02,Intrinsic Cause,take a walk,see something,jump up and down,reach for something,Intrinsic,action,action,mind,action,0.54,6,-0.33,13,0.8700000000000001
subj_02,Intrinsic Cause,sit down,experience pain,take a walk,jump up and down,Intrinsic,action,action,bio,action,0.4,5,-0.57,13,0.97
subj_02,Intrinsic Cause,choose what to do,take a walk,see something,hear something,Intrinsic,mind,mind,action,mind,0.49,1,-0.13,13,0.62
subj_02,Intrinsic Cause,jump up and down,get tired,take a walk,sit down,Intrinsic,action,action,bio,action,0.66,2,-0.4,13,1.06
