"itemA","itemB","domain_itemA","domain_itemB","mean_causal_distance","mean_freesort_distance","freesort_minus_causal"
"become hungry","choose what to do","bio","mind",0.152079207920792,0.544257425742574,0.392178217821782
"become hungry","experience pain","bio","bio",0.286435643564356,0.38970297029703,0.103267326732673
"become hungry","feel scared","bio","bio",0.526633663366337,0.419009900990099,-0.107623762376238
"become hungry","get sick","bio","bio",0.398217821782178,0.346831683168317,-0.0513861386138614
"become hungry","get tired","bio","bio",0.319009900990099,0.307524752475248,-0.0114851485148515
"become hungry","hear something","bio","mind",0.624257425742574,0.557722772277228,-0.0665346534653465
"become hungry","jump up and down","bio","action",0.642772277227723,0.554851485148515,-0.0879207920792079
"become hungry","kick something","bio","action",0.603069306930693,0.527227722772277,-0.0758415841584158
"become hungry","reach for something","bio","action",0.218316831683168,0.548514851485149,0.33019801980198
"become hungry","remember something","bio","mind",0.326930693069307,0.584059405940594,0.257128712871287
"become hungry","see something","bio","mind",0.497227722772277,0.578118811881188,0.0808910891089109
"become hungry","sit down","bio","action",0.276435643564356,0.501287128712871,0.224851485148515
"become hungry","take a walk","bio","action",0.455247524752475,0.522574257425743,0.0673267326732673
"become hungry","think about something","bio","mind",0.177623762376238,0.584356435643564,0.406732673267327
"choose what to do","become hungry","mind","bio",0.418613861386139,0.544257425742574,0.125643564356436
"choose what to do","experience pain","mind","bio",0.384356435643564,0.588712871287129,0.204356435643564
"choose what to do","feel scared","mind","bio",0.261188118811881,0.551584158415842,0.29039603960396
"choose what to do","get sick","mind","bio",0.503861386138614,0.601881188118812,0.098019801980198
"choose what to do","get tired","mind","bio",0.354950495049505,0.582178217821782,0.227227722772277
"choose what to do","hear something","mind","mind",0.484356435643564,0.468910891089109,-0.0154455445544554
"choose what to do","jump up and down","mind","action",0.35960396039604,0.475841584158416,0.116237623762376
"choose what to do","kick something","mind","action",0.371584158415842,0.538613861386139,0.167029702970297
"choose what to do","reach for something","mind","action",0.232673267326733,0.49049504950495,0.257821782178218
"choose what to do","remember something","mind","mind",0.232475247524752,0.373465346534653,0.140990099009901
"choose what to do","see something","mind","mind",0.395445544554455,0.45029702970297,0.0548514851485148
"choose what to do","sit down","mind","action",0.256336633663366,0.485049504950495,0.228712871287129
"choose what to do","take a walk","mind","action",0.245643564356436,0.459207920792079,0.213564356435644
"choose what to do","think about something","mind","mind",0.147722772277228,0.357821782178218,0.21009900990099
"experience pain","become hungry","bio","bio",0.597227722772277,0.38970297029703,-0.207524752475247
"experience pain","choose what to do","bio","mind",0.190594059405941,0.588712871287129,0.398118811881188
"experience pain","feel scared","bio","bio",0.0973267326732673,0.312376237623762,0.215049504950495
"experience pain","get sick","bio","bio",0.214455445544554,0.20950495049505,-0.00495049504950495
"experience pain","get tired","bio","bio",0.205940594059406,0.404653465346535,0.198712871287129
"experience pain","hear something","bio","mind",0.546534653465347,0.567128712871287,0.0205940594059405
"experience pain","jump up and down","bio","action",0.453861386138614,0.565445544554455,0.111584158415842
"experience pain","kick something","bio","action",0.363960396039604,0.473069306930693,0.109108910891089
"experience pain","reach for something","bio","action",0.239306930693069,0.588514851485148,0.349207920792079
"experience pain","remember something","bio","mind",0.273960396039604,0.596237623762376,0.322277227722772
"experience pain","see something","bio","mind",0.424950495049505,0.574851485148515,0.14990099009901
